condition,checkpoint,seed,episode,episode_seed,n_steps,external_sha256,phi_r_g,group_decoupling_g,group_downward_g,group_part_driven_g,phi_r_atom_median_sum_g,phi_r_minus_atom_median_sum_g,g_partition_n1,g_partition_n2,g_partition_signature,atom_base_part0_to_whole_g,atom_parts_to_whole_g,atom_part1_to_whole_g,atom_whole_to_part0_g,atom_whole_to_parts_g,atom_whole_to_part1_g,atom_whole_to_whole_g,atom_part0_to_part1_g,atom_part1_to_part0_g,phi_r_z,z_partition_n1,z_partition_n2,z_partition_signature
default,36000,13,2,511136,800,a4040649f24d949a9daac8111c269e4d1a5257c969fae12fa7c69d0df9dbb2a3,3.1890978771757,1.7636906094939793,1.361100112367971,0.06958540954865255,3.1943761314106025,-0.00527825423490258,11,1,"A[1,2,3,4,5,6,7,8,9,10,11]|B[0]",0.0,2.3106023067414494,-0.9202661314004232,1.317723424823964,0.9335037924645144,-0.8901271049205075,1.7636906094939793,0.0,-1.3207507657923736,0.08220547202465545,1,15,"A[12]|B[0,1,2,3,4,5,6,7,8,9,10,11,13,14,15]"
default,36000,13,3,269786,800,f554c10b3a6ea3aad3da67bdd8822e211e5b121bc19cccf58079def91c367dd6,2.825057009554627,-1.2788637936287541,3.9487646505301983,0.056569005302029796,2.7264698622034746,0.09858714735115237,4,8,"A[1,3,5,6]|B[0,2,4,7,8,9,10,11]",1.6533696804245483,0.6248941512706383,1.8523700014740034,1.5824326896405894,0.2505201393590908,2.115811821530518,-1.2788637936287541,-2.220029662152343,-1.8540351657148173,0.0030188688547485576,1,15,"A[1]|B[0,2,3,4,5,6,7,8,9,10,11,12,13,14,15]"
default,36000,13,4,307829,800,efeb704908aab4b37f9eb437d7027df36470cc446a4008dae4aeb97dab9705a9,2.1934372223801,-1.4269726978753905,3.4986926291049665,0.05933662614889812,2.131056557378475,0.06238066500162498,5,7,"A[2,7,8,10,11]|B[0,1,3,4,5,6,9]",1.5679732331317537,0.5018201360111205,1.763573294806867,1.8923884568971405,0.1187393393347107,1.487564832873115,-1.4269726978753905,-1.597091748891316,-2.1769382889095272,0.032905418515236984,2,14,"A[8,12]|B[0,1,2,3,4,5,6,7,9,10,11,13,14,15]"
default,36000,13,5,40973,800,e026480bfdede18b0cad8aa9a8396507da1a7d4e1d8f8b035f580d6cf1dfb08c,2.3121501568122884,-0.769826347006183,2.9624513264017036,0.07313625068782281,2.2657612300833434,0.04638892672894501,5,7,"A[4,7,8,10,11]|B[0,1,2,3,5,6,9]",1.3895634904288343,0.6105663323470996,1.0892331564532898,1.609441457285119,0.29112382958581184,1.061886039530773,-0.769826347006183,-1.390357550106256,-1.6258691784351447,0.19823260988403812,2,14,"A[12,13]|B[0,1,2,3,4,5,6,7,8,9,10,11,14,15]"
default,36000,13,6,75240,800,aa52b477675f028f7f05585d6e76d7c1e052216fc5ff0c12d5b19191dbb9f848,2.4302430109980806,0.975076467711947,1.3697836000028498,0.038734929452791445,2.383594997167588,0.04664801383049255,1,11,"A[3]|B[0,1,2,4,5,6,7,8,9,10,11]",-0.4939276191562971,1.930684337727047,0.0,-0.5269652741683235,0.5608781753633525,1.3358706988078208,0.975076467711947,-1.3980217891179585,0.0,0.02702181417182581,2,14,"A[12,14]|B[0,1,2,3,4,5,6,7,8,9,10,11,13,15]"
default,36000,13,7,16527,800,0193a206e04983fbfc2b0b7090a2206526ec6d42519b69d1a4291436c936eec5,1.6217801296728296,-0.8042520866900627,2.330645366467166,0.040488282476181636,1.5668815622532848,0.0548985674195448,8,4,"A[2,4,6,7,8,9,10,11]|B[0,1,3,5]",1.0818754116638072,0.3259646631622659,1.0854508182647267,1.1412701838825656,0.20780794834825067,0.9815672342363497,-0.8042520866900627,-1.1487295004176097,-1.3040731101970082,0.004422402438385098,1,15,"A[9]|B[0,1,2,3,4,5,6,7,8,10,11,12,13,14,15]"
default,36000,13,8,175267,800,61d4cf29a73d0fbebcfd1d461184e2ae14c4900d005b36c4d18f6b61215564be,2.1998402407894555,-1.0809329821459186,3.303116758160679,0.07181025328600699,2.2939940293007686,-0.09415378851131306,6,6,"A[2,4,7,8,10,11]|B[0,1,3,5,6,9]",1.5145839932202594,0.6738628574707115,1.1324700472644535,1.7196801852527925,0.496323355131151,1.0871132177767353,-1.0809329821459186,-1.5181200260782846,-1.7309866185911327,0.11224648040912932,2,14,"A[5,11]|B[0,1,2,3,4,6,7,8,9,10,12,13,14,15]"
default,36000,13,9,813270,800,794bd6f53d04e380a07ad3b23a7b78a7204d02f669ee999f3c58aefed46e047b,2.152581055316565,-0.8120124077291724,2.974016584702082,0.06498171211441717,2.2269858890873273,-0.07440483377076212,6,6,"A[2,4,7,8,10,11]|B[0,1,3,5,6,9]",1.430051310957912,0.6698458817864568,0.8951272283739096,1.492525018456412,0.5969414557343176,0.8845501105113527,-0.8120124077291724,-1.4342824405329702,-1.495760268470891,0.17979205270338083,3,13,"A[7,10,13]|B[0,1,2,3,4,5,6,8,9,11,12,14,15]"
default,36000,14,0,850624,800,2bdde52c6bb6e994a3f0d7c441ff03c743b87486b9efafb8c87e3d9aefd1bf30,2.253707343583674,1.1849996960099025,0.9290345355549177,0.0636647023563196,2.1776989339211394,0.07600840966253442,9,3,"A[2,3,4,5,6,7,8,9,11]|B[0,1,10]",0.26795769959363636,0.8511243837704741,-0.10361722904076798,0.6717738450690969,0.23226967595609516,0.02499101452972563,1.1849996960099025,-0.26667853985695433,-0.6851216121100685,0.09082183037372896,4,12,"A[1,8,11,14]|B[0,2,3,4,5,6,7,9,10,12,13,15]"
default,36000,14,1,636961,800,010aa30e51836eeb1d0b2f3c13fdad4d158ec9cd81af62b9fe181df4c7aef7c4,3.6107197284746095,1.7659881930933343,1.7484038683273688,0.03465646502577702,3.549048526446481,0.06167120202812848,3,9,"A[2,9,11]|B[0,1,3,4,5,6,7,8,10]",0.2091734623760202,0.9506690704812388,0.6301097798383697,0.3490061020145394,0.3022366637959273,1.0971611025169021,1.7659881930933343,-1.1285963621902932,-0.6266994854795584,0.04669904459622155,5,11,"A[3,8,13,14,15]|B[0,1,2,4,5,6,7,9,10,11,12]"
