condition,checkpoint,seed,phi_r_g,group_decoupling_g,group_downward_g,group_part_driven_g,phi_r_atom_median_sum_g,phi_r_minus_atom_median_sum_g,atom_base_part0_to_whole_g,atom_part0_to_part1_g,atom_part1_to_part0_g,atom_part1_to_whole_g,atom_parts_to_whole_g,atom_whole_to_part0_g,atom_whole_to_part1_g,atom_whole_to_parts_g,atom_whole_to_whole_g,phi_r_z
default,18000,16,1.7164205873082772,-0.013714376230604008,1.5920478223215349,0.09147695724189908,1.6780820615710836,-0.005953553454622451,0.5474333010232014,-1.2027088450931263,-0.6320040547858603,0.6008788969696902,0.7881081445454435,0.34223464069228837,0.9133937409513897,0.10496016211725445,-0.013714376230604008,0.06659567107803843
default,18000,17,2.1314112074343683,-0.17715695661525133,2.0453567087872564,0.07283356705984306,2.1237849495039756,0.03619339383056874,0.5800122554224656,-1.3852389372587428,-0.7627777401737434,0.7762861181861981,0.8990742202762958,0.5410784158221911,1.3463780650269057,0.23753768118643814,-0.17715695661525133,0.054208407232226
default,18000,18,1.8917247735527556,-0.3700519605732506,2.0279473992835197,0.05325116901631888,1.8525290507230732,0.050361909322028,0.8606468814860355,-1.3769937729419233,-0.8776798773383321,0.7976928527201398,0.520370306337836,0.7795541016662724,1.2135872336276434,0.15212947674552058,-0.3700519605732506,0.039289736654028296
default,18000,19,2.163957059012782,1.0929295370930838,1.1155955298776332,0.05177670494607056,2.1764968368561735,0.028389722019365737,0.24589418632855686,-0.9022139154418711,-0.00031141866554762476,0.010965831819189642,0.7549424672569607,0.0,0.8580165157859492,0.03976652477251985,1.0929295370930838,0.1138422554835248
default,18000,20,2.5734268941311536,-0.34711239465914945,2.720504676111528,0.07177095272780143,2.467409176085547,0.04187308026587799,1.14112967520275,-1.3777810235985244,-1.5134698740628691,1.4688343815992715,0.5194030168644606,1.062888635061959,1.3625964535799713,0.2811406231236224,-0.34711239465914945,0.03130515949052923
default,18000,21,1.7446929781342546,-0.6016911252558499,2.2496745080817124,0.1232735614802063,1.763242071599479,-0.040383797259916476,1.077816167333112,-1.412439184285141,-0.9453069082190558,0.8986680090062156,0.5196385792819729,0.7894569234686631,1.1406259023350787,0.2152950261589649,-0.6016911252558499,0.036642035035622494
default,18000,22,2.448125026571854,1.611499241073452,0.7074488955638155,0.015394555954868272,2.3819829725182613,0.019764639560535757,-0.05028488785540186,-0.7003115551076441,0.0,0.0,0.7862035232038596,0.0,0.6536123614999085,0.007592253634181367,1.611499241073452,0.08351860192343642
default,18000,23,1.485067664953386,-0.6854148437704164,2.0499395903923325,0.07671889876641913,1.493572501660687,0.02457857753565773,0.832141818961333,-0.8569231259452328,-1.42730656412274,1.1771600160671323,0.2998626534300226,1.172933472454731,0.8404149718790547,0.10285522288073645,-0.6854148437704164,0.038324108026886114
default,18000,24,1.897969417700214,0.5031375151649986,1.3087947614657165,0.06856502428616507,1.895651643254356,0.027452307459276404,0.5098645129743389,-0.7421988380881506,-0.6815328081850918,0.4712532025223232,0.49701880740049853,0.6502823021614346,0.675981910668982,0.024637831831567425,0.5031375151649986,0.017292173256203636
default,18000,25,1.934565881797491,0.6251257373636314,1.1218191510249051,0.09639087698948368,1.9640682141328794,0.03145754198759576,0.3543423706801885,-0.9358379045962104,0.0,0.024903896230815237,0.7430158210582429,0.02332730165236907,0.8033569443999136,0.05882132282578478,0.6251257373636314,0.09989894287067891
default,18000,26,2.04815535914686,-1.0461328228522242,2.9635212508440887,0.06774313307282209,2.083584705559983,-0.016373537668124882,1.4287130100102707,-1.4971091313103209,-1.509952946069038,1.500145700994204,0.3674152401805185,1.356855297237751,1.391012349534022,0.1299596666016044,-1.0461328228522242,0.10119934610070261
default,18000,27,2.6497885562147703,0.06332126351790657,2.435010484942073,0.09164872450541262,2.6424355724948487,0.01023822683363007,1.0087274007804394,-1.3228203581652267,-1.0578907626901923,0.7711967506792209,0.9603473078073734,0.9853755316875925,0.930965286343535,0.2798718443406025,0.06332126351790657,0.07335843969330755
default,18000,28,1.9689384702996557,-0.14000468760191365,1.6214455738700866,0.03947396693194338,2.045881175840592,-0.026104813894160417,0.5975160728336495,-1.1048593033196925,-0.6580075703873179,0.6081068760501093,0.9418135761659869,0.5150451941165249,1.0127366922841103,0.2226920255821434,-0.14000468760191365,0.03130857184450826
default,18000,29,1.6939323409377884,0.10853631806096309,1.352330817695087,0.05708594243033416,1.6714935286613284,-0.004358685093538761,0.7508933875214124,-0.8981260254606345,-0.5154071305929484,0.4988946620199729,0.5719181704853942,0.5148803872081302,0.7707488723424674,0.02867843496426148,0.10853631806096309,0.06127952840779506
default,18000,30,2.461020255783424,0.4446969752815304,1.6237192576900208,0.036835187193028585,2.370096209865607,0.06743392574440699,0.6455928845161223,-0.8892137199941528,-0.9110877400253817,0.9136000602185604,0.2676083473904022,0.6041204357112234,0.8746513374166709,0.10558746515824047,0.4446969752815304,0.031091256942218648
default,24000,1,2.0089096719117316,0.11591058065312732,1.499389598114302,0.06672464109432036,1.9799511024768783,0.0030525985660126986,0.46216202570584874,-0.8787049983051428,-0.629919253588427,0.6171720513836179,0.5265095983106889,0.4675403040935327,0.8311465030817136,0.19773553080910689,0.11591058065312732,0.0250065578463263
