group,seed,episode,tau,phi_g
trained,1,7,-149,0.9709216361632191
trained,1,7,-144,0.9216601096189793
trained,1,7,-139,0.7728322307254383
trained,1,7,-134,1.123318099270978
trained,1,7,-129,0.9026716650842173
trained,1,7,-124,0.942273784449202
trained,1,7,-119,0.9176954319805739
trained,1,7,-114,0.7704176445036147
trained,1,7,-109,1.0836928129951686
trained,1,7,-104,1.1473275739567554
trained,1,7,-99,1.160477891908155
trained,1,7,-94,1.2168224350111525
trained,1,7,-89,1.13092057478002
trained,1,7,-84,1.025059204875379
trained,1,7,-79,0.6608564293933804
trained,1,7,-74,0.6521408124672001
trained,1,7,-69,0.6644143185622812
trained,1,7,-64,0.5597673135680443
trained,1,7,-59,0.4749609705514737
trained,1,7,-54,0.5223099499763594
trained,1,7,-49,0.576673806296385
trained,1,7,-44,0.5694520279992797
trained,1,7,-39,0.5386153103166894
trained,1,7,-34,0.44303823956546706
trained,1,7,-29,1.202926028612017
trained,1,7,-24,1.483078707568756
trained,1,7,-19,1.0824384341007405
trained,1,7,-14,1.1209883285981173
trained,1,7,-9,1.1918262094653287
trained,1,7,-4,1.2278223141416715
trained,1,7,1,1.328881261289552
trained,1,7,6,1.4649498627682838
trained,1,7,11,1.6368372424707396
trained,1,7,16,1.1491810510847862
trained,1,7,21,0.35464903719713936
trained,1,7,26,1.0758825169359643
trained,1,7,31,1.2207188667814088
trained,1,7,36,1.2808615061448716
trained,1,7,41,1.1597885049662973
trained,1,7,46,0.9099197597082621
trained,1,7,51,0.9131363602046348
trained,1,7,56,1.3051828000101082
trained,1,7,61,1.4610279629186662
trained,1,7,66,1.343447070764193
trained,1,7,71,1.2087605207766376
trained,1,7,76,0.7993503733368624
trained,1,7,81,0.6875180615445771
trained,1,7,86,1.6300821150344433
trained,1,7,91,1.006260614469693
trained,1,7,96,0.8964112091329224
trained,1,7,101,0.9183232861376829
trained,1,7,106,1.1982442447275798
trained,1,7,111,0.5561841648539892
trained,1,7,116,1.0075943379523418
trained,1,7,121,1.724703762347668
trained,1,7,126,1.798445296039446
trained,1,7,131,1.1017580909748652
trained,1,7,136,1.0393547842039121
trained,1,7,141,0.9849055811640581
trained,1,8,-279,4.968820749978065
trained,1,8,-274,3.5139168799992957
