group,seed,episode,tau,phi_g
trained,1,4,111,0.7119864775792499
trained,1,4,116,0.5431099020769621
trained,1,4,121,0.5200383621169763
trained,1,4,126,0.4438983131084572
trained,1,4,131,0.4763990038676701
trained,1,4,136,0.6256839098993259
trained,1,4,141,0.5160593649871543
trained,1,5,-279,2.642294956492388
trained,1,5,-274,3.343265375276938
trained,1,5,-269,2.8785974371775116
trained,1,5,-264,1.811672484177796
trained,1,5,-259,0.9706255537862937
trained,1,5,-254,0.9532993039059294
trained,1,5,-249,0.9110535020916134
trained,1,5,-244,0.6772850280040758
trained,1,5,-239,1.4750529470499072
trained,1,5,-234,0.917211389716043
trained,1,5,-229,0.9656197032540823
trained,1,5,-224,0.6993870669332407
trained,1,5,-219,0.47962987796466683
trained,1,5,-214,0.5875730276063058
trained,1,5,-209,0.6306137352797463
trained,1,5,-204,0.6052133221663771
trained,1,5,-199,0.6332272095628103
trained,1,5,-194,0.6743334990288103
trained,1,5,-189,0.8431143638312194
trained,1,5,-184,0.41312396013694497
trained,1,5,-179,0.42149919270157643
trained,1,5,-174,0.31246876016604996
trained,1,5,-169,0.31335118348129376
trained,1,5,-164,0.5527008265831013
trained,1,5,-159,0.33134152238149606
trained,1,5,-154,0.5465090490179284
trained,1,5,-149,0.6897245911316543
trained,1,5,-144,1.071681861133506
trained,1,5,-139,1.0207301181510007
trained,1,5,-134,1.1500915071353557
trained,1,5,-129,0.968148826676946
trained,1,5,-124,0.8037650346515637
trained,1,5,-119,0.8910920355763443
trained,1,5,-114,0.5794059677808304
trained,1,5,-109,0.6995610368669181
trained,1,5,-104,0.9012457166942511
trained,1,5,-99,0.9947419147790613
trained,1,5,-94,0.9626106373211889
trained,1,5,-89,0.9650976883131888
trained,1,5,-84,1.0801722180219357
trained,1,5,-79,1.1097826030263012
trained,1,5,-74,1.0922994458211333
trained,1,5,-69,1.0095585357320824
trained,1,5,-64,0.9630476867735165
trained,1,5,-59,1.001474086497333
trained,1,5,-54,1.1711932107321064
trained,1,5,-49,1.2147583139076912
trained,1,5,-44,1.2315225653352648
trained,1,5,-39,1.166796532025448
trained,1,5,-34,0.8014475014712032
