group,condition,seed,episode,base_part0_to_whole,parts_to_whole,part1_to_whole,whole_to_part0,whole_to_parts,whole_to_part1,whole_to_whole,part0_to_part1,part1_to_part0,group_decoupling,group_downward,group_part_driven,phi_r_total
trained,clean,7,6,0.43753099414881713,0.3189368762939139,0.6718014397980356,0.6589309933350771,0.11606206514921213,0.4406489216731643,-0.27509736259967443,-0.4963161897543438,-0.9106789873513558,-0.27509736259967443,1.2156419801574536,0.021274133135067097,0.9618187506928463
trained,clean,7,7,0.4425021515064187,1.0843377503331255,0.4327138397181862,0.31931050814778583,0.20757189325981318,1.3136969517615327,-0.07988551997094273,-1.3979095187382686,-0.4313461312583565,-0.07988551997094273,1.8405793531691317,0.13029809156110528,1.8909919247592941
trained,clean,7,8,0.4253818537368397,0.7724156625685688,0.4893999947766572,0.3056008766669972,0.15402225398127323,1.0291847332413901,-0.2859990549702247,-1.1192119461132204,-0.4881190855463551,-0.2859990549702247,1.4888078638896607,0.07986647942249014,1.2826752883419261
trained,clean,7,9,0.2611038367121181,1.018211652658807,0.24027239314358728,0.14157806460494515,0.11332643086673189,1.0515897419148974,-0.14089643860667111,-1.1365542936205255,-0.24027239314358728,-0.14089643860667111,1.3064942373865744,0.14276119575039958,1.308358994530303
trained,clean,8,0,0.9648919250002826,0.3392782006915571,0.5831395196652123,0.6786231300135517,0.2055305278791093,0.678107142337466,-0.41473290597629475,-1.0522187107700678,-0.7245077086116165,-0.41473290597629475,1.562260800230127,0.11058322597536763,1.2581111202292
trained,clean,8,1,0.6535849292957547,0.4535408117675057,0.04423883142638374,0.05290096816591938,0.018797339195529617,0.44701534318213876,-0.04035309038116752,-0.9909988544329885,-0.09847203789774361,-0.04035309038116752,0.5187136505435878,0.06189368015891206,0.5402542403213323
trained,clean,8,2,0.5002281823536647,0.47362107175463475,0.6244811662305414,0.8580325087623424,0.05543666268765912,0.3863604919148499,-0.14499967026288108,-0.5002281823536647,-1.0106766954576087,-0.14499967026288108,1.2998296633648514,0.0874255425275674,1.2422555356295377
trained,clean,8,3,0.7449332740697516,0.7938229366719656,0.0,0.0,0.008882233557874208,0.8380136738536579,-0.003919650794836471,-1.4133196447001328,0.0,-0.003919650794836471,0.8468959074115321,0.12543656604158437,0.96841282265828
trained,clean,8,4,0.11975332081293888,0.9317372047350576,0.0,0.0,0.008149618272967896,0.9109127154395416,0.04915291108808573,-1.0914151260583953,0.0,0.04915291108808573,0.9190623337125094,-0.03992460051039881,0.9282906442901964
trained,clean,8,5,0.6233347215738304,0.0599657999175468,0.44644474230244735,0.44194740157665835,0.017288498562685106,0.44598036672963637,0.6227341049771189,-0.6078135396492269,-0.4510016725735252,0.6227341049771189,0.9052162668689798,0.07093005157107246,1.5988804234171712
trained,clean,8,6,1.2711406727439603,0.48001087354940797,0.3736232036595455,0.7307251406031274,0.4093347152767506,0.4429037528455808,-0.1662194066673499,-1.2761085181784872,-0.7419230300877324,-0.1662194066673499,1.5829636087254588,0.10674320168669382,1.5234874037448027
trained,clean,8,7,-0.5486594105253093,1.3322315729112526,0.0,-0.5522351815352917,0.6059106225268776,0.6773841466392556,0.7492933109697675,-0.7032328943871193,0.0,0.7492933109697675,0.7310595876308414,0.08033926799882396,1.5606921665994329
trained,clean,8,8,0.0332142062530314,0.6750375472468699,0.0,0.0,0.04615822236028899,0.5802361444290749,0.5753052580787972,-0.6742409493221844,0.0,0.5753052580787972,0.6263943667893639,0.03401080417771696,1.235710429045878
trained,clean,8,9,0.0,0.5406771279020841,0.20346433136322517,0.49940487850601467,0.022466316592739233,0.0,0.35611759535546517,0.0,-0.6641012232585932,0.35611759535546517,0.5218711950987539,0.08004023600671606,0.9580290264609351
trained,clean,9,0,0.9973276828505306,0.3469175023588369,0.542315862032491,0.6798661369638601,0.22599788753353311,0.5781488853552303,-0.4157072338497181,-1.0517970812430084,-0.7398262070866201,-0.4157072338497181,1.4840129098526236,0.09493775891223011,1.1632434349151355
trained,clean,9,1,0.11281055911558235,0.3782737519870687,0.6264598609783467,0.5839650108692469,0.011609482167945329,0.11827593162029926,0.405052276794422,-0.11076251306036111,-0.92768726153014,0.405052276794422,0.7138504246574915,0.07909439749049663,1.1979970989424102
trained,clean,9,2,-0.09228250563143958,0.7582295620551451,0.7235140765295285,-0.06257054846830434,0.6044937109751383,0.5651111540561,1.440090491177756,-0.5650831116834234,-0.7176959928122983,1.440090491177756,1.107034316562934,0.10668202845751229,2.6538068361982017
trained,clean,9,3,0.22584323590262367,0.6166338749836018,1.0464531906090309,0.24786384626331992,0.4650553651542846,0.7752721965660341,1.2587459587948993,-0.7708180839748046,-1.0334273661942028,1.2587459587948993,1.4881914079836385,0.08468485132624903,2.831622218104787
trained,clean,9,4,0.20028194495417972,0.6593486835291271,0.7384974403834892,0.1969357942572285,0.4770055970068281,0.7982034273309222,0.6678425331149276,-0.8161001148249485,-0.7379566317900818,0.6678425331149276,1.4721448185949788,0.0440713222517658,2.184058673961672
trained,clean,9,5,0.01268529330104684,1.1799266942501263,0.0,-2.220446049250313e-16,0.0617244393509776,0.8885399737366484,0.040133440534317444,-1.1021786071593345,0.0,0.040133440534317444,0.9502644130876258,0.09043338039183868,1.080831234013782
trained,clean,9,6,0.19908814567782546,0.6365870475405617,0.0,0.0,0.022516854063485248,0.556235093481972,0.9612552118900193,-0.729921683433463,0.0,0.9612552118900193,0.5787519475454572,0.10575350978492426,1.6457606692204008
trained,clean,9,7,0.6105326327451064,0.6133003231127008,0.5275903890717314,0.4865467138212092,0.017037765116176606,1.0753049600377806,1.2629970729682016,-1.1902328645324358,-0.5115381256212648,1.2629970729682016,1.5788894389751664,0.04965235477583807,2.8915388667192063
trained,clean,9,8,-0.23385105507059945,1.4247399317401293,0.0,-0.2580496542620776,0.32593918001237676,1.005152287602361,0.4124481162276976,-1.0703661665034307,0.0,0.4124481162276976,1.0730418133526602,0.12052271016609906,1.606012639746457
trained,clean,9,9,0.7351057198991144,1.0417473078263306,-0.020751654492681126,0.9428471436792121,0.7207840749832841,0.01304339185068959,0.9658846239708945,-0.7213883788723703,-0.9473431397627003,0.9658846239708945,1.6766746105131858,0.08736985459769331,2.729929089081774
trained,clean,10,0,-0.195666056182761,0.8695188231798499,0.0,-0.1750218548683773,0.24714359241973372,0.5511855806576595,0.9536427838458141,-0.578534594057688,0.0,0.9536427838458141,0.623307318209016,0.09531817293940081,1.6722682749942308
trained,clean,10,1,0.5519543266102351,0.38387484336044964,0.37080916069234415,0.48393004337861045,0.24023164754526571,0.2932212327837271,-0.1721682966367437,-0.590446010469328,-0.5742426653939807,-0.1721682966367437,1.0173829237076033,0.14194965479972022,0.9871642818705798
trained,clean,10,2,0.6952372985193589,0.36461013301269873,0.6328506942621187,0.7689680720058292,0.22290155738381734,0.5198404056626504,-0.43110289064743146,-0.7569505250310353,-0.8574372090806581,-0.43110289064743146,1.511710035052297,0.078310391682483,1.1589175360873485
trained,clean,10,3,-0.019840291115978737,0.9716889962033503,0.0,-0.03866842619786082,0.2043893791899073,0.6344614160625748,0.25932457252768093,-0.8025357871295016,0.0,0.25932457252768093,0.8001823690546213,0.14931291795786994,1.208819859540172
trained,clean,10,4,0.7059029295411723,0.2979648543806933,0.5776159874699544,0.5822377711758197,0.13047422706833423,0.6009679118802851,-0.37775837624989306,-0.8064051235508111,-0.6837601826579783,-0.37775837624989306,1.313679910124439,0.09131846518303077,1.0272399990575767
trained,clean,10,5,0.7639616025920398,0.37558026952417634,0.6753642908709195,0.6832088823032587,0.1939354030468452,0.6613219496269358,-0.48435135654945416,-0.878114760717743,-0.8335002220490613,-0.48435135654945416,1.5384662349770397,0.10329118022033124,1.1574060586479167
trained,clean,10,6,0.5981245767660193,0.3344473609928146,0.6533024607385233,0.6895322841550988,0.19909790654069903,0.5635934932556806,-0.43351255126224597,-0.7145181686500738,-0.8422587171412566,-0.43351255126224597,1.4522236839514786,0.029097512706026785,1.0478086453952593
trained,clean,10,7,0.0,0.601702459971784,0.1706074629363086,0.5188352273088757,0.0018103544927670079,0.0,0.31281633860339253,0.0,-0.7585101605176843,0.31281633860339253,0.5206455818016427,0.013799762390408254,0.8472616827954434
trained,clean,10,8,0.22125425653094055,0.7320975744549396,0.14566530286710755,0.020983560419060243,0.11355774435598676,0.6967821057609144,-0.03466508864438422,-0.8593851769742173,-0.15049106870880063,-0.03466508864438422,0.8313234105359614,0.08914088816996973,0.8857992100615468
trained,clean,10,9,0.0,0.9836048837741607,0.0,-0.015631548313460142,0.0679026470256252,0.7554959669484611,0.21095161789138028,-0.9832763752901644,0.0,0.21095161789138028,0.8077670656606262,0.0003285084839962371,1.0190471920360027
trained,clean,11,0,0.22768078496648114,0.5551049513726904,0.2580100918743855,0.15024655797621733,0.127522497612357,0.5617965110290735,0.1227691093058283,-0.6968619837326522,-0.2810803719318013,0.1227691093058283,0.8395655666176478,0.0628534725491035,1.0251881484725796
trained,clean,11,1,-0.14016027488906135,1.1404901039838593,0.0,-0.1473343673527414,0.24700773375837626,0.8255435760846976,0.39809795765379263,-0.9000644192529889,0.0,0.39809795765379263,0.9252169424903325,0.1002654098418091,1.423580309985934
trained,clean,11,2,-0.05144528552333094,1.2578880283058127,0.0,-0.039709304532117295,0.0968964566294892,0.9736468857959997,0.2459872373159513,-1.1682902410009361,0.0,0.2459872373159513,1.0308340378933716,0.03815250178154561,1.3149737769908685
trained,clean,11,3,0.14285917793903002,0.49835126024338083,0.2523476509041995,0.1322371472427737,0.10182532271509714,0.5472170203453701,0.8689814755255432,-0.5754145992058463,-0.23065405724105426,0.8689814755255432,0.781279490303241,0.08748943263970987,1.7377503984684939
trained,clean,11,4,0.2694078731265792,1.0773127540679526,0.7330372231035025,0.24251784578604907,0.6108266159791607,1.208588333852867,-0.2291704439473623,-1.2420465371409761,-0.736906819941972,-0.2291704439473623,2.061932795618077,0.10080449321508633,1.9335668448858008
trained,clean,11,5,-0.05440470021859978,0.4039916350320585,0.0,0.0,0.03325235296335305,0.28257418623886343,1.0269086458719976,-0.3604322707937919,0.0,1.0269086458719976,0.3158265392022165,-0.010845335980333215,1.3318898490938809
trained,clean,11,6,0.38867573222112883,0.8518228302706994,0.09170090199066205,0.0238426315316127,0.05538645598590408,0.859610951353932,0.13689852457826968,-1.1293746808836,-0.09160785971637053,0.13689852457826968,0.9388400388714487,0.1112169238825198,1.186955487332238
trained,clean,11,7,-0.2782947206778653,0.8567957447803594,0.0,-0.21693274307261934,0.22797660298274214,0.519724106895441,0.9600444500316017,-0.5457195480173151,0.0,0.9600444500316017,0.5307679668055638,0.032781476085178896,1.5235938929223445
trained,clean,11,8,0.522651661554731,0.8519398518673371,0.43705081041772365,0.30157004070973015,0.1600580116353134,1.0336223643609146,-0.17640702486172,-1.2702736835444917,-0.43826435292415944,-0.17640702486172,1.4952504167059582,0.10310428737114075,1.421947679215379
