seed,episode,condition,shared_partition_signature,shared_partition_n1,shared_partition_n2,phi_r_g,group_decoupling_g,group_downward_g,group_part_driven_g
9,9,default,"A[1,3]|B[0,2,4,5,6,7,8,9,10,11]",2,10,4.042246879141639,1.5921392929514742,2.3232328881329374,0.07445501819953393
10,0,coupled,"A[1,2,8]|B[0,3,4,5,6,7,9,10,11]",3,9,1.773597184606218,0.1512827574629183,1.537445646417357,0.04196293602812062
10,0,default,"A[1,2,8]|B[0,3,4,5,6,7,9,10,11]",3,9,1.7405370150698551,-0.3555939059528024,1.8407280941176103,0.2291010946051386
10,1,coupled,"A[1,2,3,4,6,7,8,11]|B[0,5,9,10]",8,4,1.5023693776466203,0.2280342332127967,1.1405382182390844,0.009846208790961541
10,1,default,"A[1,2,3,4,6,7,8,11]|B[0,5,9,10]",8,4,1.8420680150554576,-0.13958023128794084,1.8502883210439014,0.042594337113291525
10,2,coupled,"A[4]|B[0,1,2,3,5,6,7,8,9,10,11]",1,11,1.7652809914600898,0.24178494950596985,1.5292878026877161,-0.0037862551936700406
10,2,default,"A[4]|B[0,1,2,3,5,6,7,8,9,10,11]",1,11,1.634158667239161,0.38324779765334693,1.2532307219363463,0.09667357031870782
10,3,coupled,"A[5,9,10,11]|B[0,1,2,3,4,6,7,8]",4,8,2.5402999985691324,0.4959183995529459,1.8267742649387748,0.06796540616551705
10,3,default,"A[5,9,10,11]|B[0,1,2,3,4,6,7,8]",4,8,1.7129029025685745,-0.40639923287536384,2.001061250715673,0.13743542354285432
10,4,coupled,"A[1,2,3,4,7,8]|B[0,5,6,9,10,11]",6,6,1.880270776692368,-1.3526658399313733,3.298928866463147,0.06986275825573274
10,4,default,"A[1,2,3,4,7,8]|B[0,5,6,9,10,11]",6,6,2.0084412925613067,-0.9656109188464983,2.9203231475749294,0.0866456302536498
10,5,coupled,"A[1,2,4]|B[0,3,5,6,7,8,9,10,11]",3,9,2.3772742170720775,0.9366318555697104,1.3820538670927147,0.04335841784541872
10,5,default,"A[1,2,4]|B[0,3,5,6,7,8,9,10,11]",3,9,1.640423487185982,-0.40552556075210644,2.063267585773908,0.06241262852860752
10,6,coupled,"A[1,2,3,7,8,11]|B[0,4,5,6,9,10]",6,6,2.262232378213807,-0.036390205410571586,2.1538025603686126,0.06397988026661605
10,6,default,"A[1,2,3,7,8,11]|B[0,4,5,6,9,10]",6,6,1.7468136649239017,0.5348460771912986,1.0841567302638146,0.06013533622752443
10,7,coupled,"A[1,2,3,4,7,8,11]|B[0,5,6,9,10]",7,5,2.77649303642615,-0.2337674516561492,2.965810304272356,0.02341150318770424
10,7,default,"A[1,2,3,4,7,8,11]|B[0,5,6,9,10]",7,5,1.7533448230667907,-0.6260157194990725,2.2692946095366375,0.10030830273766345
10,8,coupled,"A[2,3,4,6,7,8,9,11]|B[0,1,5,10]",8,4,2.855209243055703,-0.053861064099859135,2.747067039601032,0.047096588689705676
10,8,default,"A[2,3,4,6,7,8,9,11]|B[0,1,5,10]",8,4,1.4408395823814004,0.299785318631387,1.092229355636729,0.047782975937539884
10,9,coupled,"A[7]|B[0,1,2,3,4,5,6,8,9,10,11]",1,11,1.9995040093382257,0.39749496455768885,1.5685315166046028,0.19694289743770543
10,9,default,"A[7]|B[0,1,2,3,4,5,6,8,9,10,11]",1,11,2.1045743539080757,1.4507227749694662,0.6811052819035253,0.026005165295973076
11,0,coupled,"A[1,2,5,9,10,11]|B[0,3,4,6,7,8]",6,6,1.8722900852858084,-0.7064287079674871,2.5177545437771665,0.0320934070652692
11,0,default,"A[1,2,5,9,10,11]|B[0,3,4,6,7,8]",6,6,1.9885704517858322,0.6455170707277649,1.271876118677127,0.010415770143239245
11,1,coupled,"A[1,5,9,10,11]|B[0,2,3,4,6,7,8]",5,7,1.5592416885445557,-0.40939415626962194,1.8389118730736271,0.081208150732472
11,1,default,"A[1,5,9,10,11]|B[0,2,3,4,6,7,8]",5,7,2.3341935708980897,0.14951583794929846,2.152246049871577,0.05009030726086727
11,2,coupled,"A[1,5,10,11]|B[0,2,3,4,6,7,8,9]",4,8,2.050878625760528,-0.9952523289377648,2.9291795714815896,0.10435120816543475
11,2,default,"A[1,5,10,11]|B[0,2,3,4,6,7,8,9]",4,8,2.1185464332972757,0.2605987785730015,1.6231805853023786,0.11445617017493825
11,3,coupled,"A[1,5,9,10,11]|B[0,2,3,4,6,7,8]",5,7,1.827973073577488,-0.1861029517774111,1.884302030790641,0.028808810949428887
11,3,default,"A[1,5,9,10,11]|B[0,2,3,4,6,7,8]",5,7,1.4401420163541985,-0.23128306763327755,1.6163866370420394,-0.0008988470195658849
