seed,episode,signature_default,signature_coupled,partition_mismatch_fraction,partition_agreement,exact_partition_match
9,1,"A[1,3]|B[0,2,4,5,6,7,8,9,10,11]","A[1,3,5,8,11]|B[0,2,4,6,7,9,10]",0.25,0.75,False
9,2,"A[1]|B[0,2,3,4,5,6,7,8,9,10,11]","A[1,3,8]|B[0,2,4,5,6,7,9,10,11]",0.16666666666666666,0.8333333333333334,False
9,3,"A[1]|B[0,2,3,4,5,6,7,8,9,10,11]","A[1,3,5,8,11]|B[0,2,4,6,7,9,10]",0.3333333333333333,0.6666666666666667,False
9,4,"A[1]|B[0,2,3,4,5,6,7,8,9,10,11]","A[1]|B[0,2,3,4,5,6,7,8,9,10,11]",0.0,1.0,True
9,5,"A[1]|B[0,2,3,4,5,6,7,8,9,10,11]","A[1,3,8]|B[0,2,4,5,6,7,9,10,11]",0.16666666666666666,0.8333333333333334,False
9,6,"A[1,3]|B[0,2,4,5,6,7,8,9,10,11]","A[1,3,8]|B[0,2,4,5,6,7,9,10,11]",0.08333333333333333,0.9166666666666666,False
9,7,"A[1,3]|B[0,2,4,5,6,7,8,9,10,11]","A[1,3,5,8,11]|B[0,2,4,6,7,9,10]",0.25,0.75,False
9,8,"A[1]|B[0,2,3,4,5,6,7,8,9,10,11]","A[1,5,8]|B[0,2,3,4,6,7,9,10,11]",0.16666666666666666,0.8333333333333334,False
9,9,"A[1]|B[0,2,3,4,5,6,7,8,9,10,11]","A[1,3,5,8,9,11]|B[0,2,4,6,7,10]",0.4166666666666667,0.5833333333333333,False
10,0,"A[1,4,7]|B[0,2,3,5,6,8,9,10,11]","A[7]|B[0,1,2,3,4,5,6,8,9,10,11]",0.16666666666666666,0.8333333333333334,False
10,1,"A[1,2,3,4,5,6,8,9,11]|B[0,7,10]","A[5,9,10,11]|B[0,1,2,3,4,6,7,8]",0.4166666666666667,0.5833333333333333,False
10,2,"A[3,6,9]|B[0,1,2,4,5,7,8,10,11]","A[1,2,7]|B[0,3,4,5,6,8,9,10,11]",0.5,0.5,False
10,3,"A[5,6,8,9,11]|B[0,1,2,3,4,7,10]","A[5,9,10,11]|B[0,1,2,3,4,6,7,8]",0.25,0.75,False
10,4,"A[1,2,3,4,5,7,8]|B[0,6,9,10,11]","A[4,5,8,9,10]|B[0,1,2,3,6,7,11]",0.5,0.5,False
10,5,"A[2,3,5,6,8,9,11]|B[0,1,4,7,10]","A[1,2,5,9,10,11]|B[0,3,4,6,7,8]",0.4166666666666667,0.5833333333333333,False
10,6,"A[1,2,3,4,7,8,11]|B[0,5,6,9,10]","A[4,5,7,8,9,10]|B[0,1,2,3,6,11]",0.4166666666666667,0.5833333333333333,False
10,7,"A[1,2,3,4,7,8,10,11]|B[0,5,6,9]","A[5,7,9,10,11]|B[0,1,2,3,4,6,8]",0.4166666666666667,0.5833333333333333,False
10,8,"A[1]|B[0,2,3,4,5,6,7,8,9,10,11]","A[5,9,10,11]|B[0,1,2,3,4,6,7,8]",0.4166666666666667,0.5833333333333333,False
10,9,"A[7]|B[0,1,2,3,4,5,6,8,9,10,11]","A[4,5,8,9,10]|B[0,1,2,3,6,7,11]",0.5,0.5,False
11,0,"A[3,4,6,8]|B[0,1,2,5,7,9,10,11]","A[5,9,10,11]|B[0,1,2,3,4,6,7,8]",0.3333333333333333,0.6666666666666667,False
11,1,"A[4,6,9]|B[0,1,2,3,5,7,8,10,11]","A[3,4,7,8]|B[0,1,2,5,6,9,10,11]",0.4166666666666667,0.5833333333333333,False
11,2,"A[1,2,3,5,10,11]|B[0,4,6,7,8,9]","A[5,9,11]|B[0,1,2,3,4,6,7,8,10]",0.4166666666666667,0.5833333333333333,False
11,3,"A[1,3,5,9,10,11]|B[0,2,4,6,7,8]","A[1,2,5,9,10,11]|B[0,3,4,6,7,8]",0.16666666666666666,0.8333333333333334,False
11,4,"A[1,2,3,5,6,7,8,9,10,11]|B[0,4]","A[1,2,5,10,11]|B[0,3,4,6,7,8,9]",0.4166666666666667,0.5833333333333333,False
11,5,"A[1,3,5,9,10,11]|B[0,2,4,6,7,8]","A[1,2,5,6,11]|B[0,3,4,7,8,9,10]",0.4166666666666667,0.5833333333333333,False
11,6,"A[1,5,10,11]|B[0,2,3,4,6,7,8,9]","A[5,9,10,11]|B[0,1,2,3,4,6,7,8]",0.16666666666666666,0.8333333333333334,False
11,7,"A[1,3,5,7,9,10,11]|B[0,2,4,6,8]","A[1,2,3,4,6,7,8]|B[0,5,9,10,11]",0.3333333333333333,0.6666666666666667,False
11,8,"A[6,10,11]|B[0,1,2,3,4,5,7,8,9]","A[2,3,6]|B[0,1,4,5,7,8,9,10,11]",0.3333333333333333,0.6666666666666667,False
11,9,"A[1,3,5,10,11]|B[0,2,4,6,7,8,9]","A[1,2,4,7,8,9]|B[0,3,5,6,10,11]",0.25,0.75,False
