condition,checkpoint,seed,episode,external_sha256,phi_r_g,phi_r_z,group_decoupling_g,group_downward_g,group_part_driven_g,atom_base_part0_to_whole_g,atom_parts_to_whole_g,atom_part1_to_whole_g,atom_whole_to_part0_g,atom_whole_to_parts_g,atom_whole_to_part1_g,atom_whole_to_whole_g,atom_part0_to_part1_g,atom_part1_to_part0_g,phi_r_g_shuffled,whole_to_single_sum,whole_to_parts,downward_reconstructed,downward_reconstruction_error
coupled,48000,22,9,794bd6f53d04e380a07ad3b23a7b78a7204d02f669ee999f3c58aefed46e047b,2.850521156875168,0.0104176851574263,0.142637414512726,2.48151628067214,0.1024507141895922,1.3917868510531135,0.3379376732394639,1.0636273761725346,1.0345336276562098,0.0560956096904698,1.39088704332546,0.142637414512726,-1.6377137453595538,-1.053187440915966,,2.42542067098167,0.0560956096904698,2.48151628067214,0.0
coupled,48000,23,0,2bdde52c6bb6e994a3f0d7c441ff03c743b87486b9efafb8c87e3d9aefd1bf30,2.341579187240314,0.0334336562609378,-1.054746303244828,3.2583668119657325,0.1551978948910077,1.3764571795038414,0.6735806341097779,1.3700117838666674,1.261702236208759,0.1542107849420819,1.8424537908148917,-1.054746303244828,-1.8957363594435592,-1.3691153431457197,,3.1041560270236506,0.1542107849420819,3.2583668119657325,0.0
coupled,48000,23,1,010aa30e51836eeb1d0b2f3c13fdad4d158ec9cd81af62b9fe181df4c7aef7c4,2.3047583579937085,0.0012835446595581,-0.6966897206402836,2.795393524068631,0.0377037579124448,1.7587542576983015,0.0825598377778211,1.3665192318919477,1.3772785930816855,0.0152667122332013,1.402848218753744,-0.6966897206402836,-1.7804639254681769,-1.3896656439874486,,2.7801268118354296,0.0152667122332013,2.795393524068631,0.0
coupled,48000,23,2,a4040649f24d949a9daac8111c269e4d1a5257c969fae12fa7c69d0df9dbb2a3,2.9112527996289472,0.1589756087447789,-1.4188980490449996,4.284562250943467,0.1015422305539046,1.5687457696594191,0.7874338685238236,1.9716284696325976,1.557667402552419,0.4812268664182215,2.2456679819728262,-1.4188980490449996,-2.2536919387572,-1.9725739385047365,,3.803335384525245,0.4812268664182215,4.284562250943466,-8.881784197001252e-16
coupled,48000,23,3,f554c10b3a6ea3aad3da67bdd8822e211e5b121bc19cccf58079def91c367dd6,2.423905161890328,0.0071509993512277,-1.2344391427093289,3.451763616863176,0.0535244892149371,1.8687898475180105,0.1133377916649189,1.6928332305609497,1.7145698596148178,0.0603126509570515,1.6768811062913058,-1.2344391427093289,-1.8809940838482304,-1.7404422966807114,,3.391450965906124,0.0603126509570515,3.4517636168631753,-4.440892098500626e-16
coupled,48000,23,4,efeb704908aab4b37f9eb437d7027df36470cc446a4008dae4aeb97dab9705a9,2.096855949871555,0.0309129388319315,-1.115388025400506,3.079936615959511,0.0534560952504161,1.9287853314479757,0.1335294288770292,1.4521055352309462,1.4569776944937076,0.0516869371701447,1.5712719842956588,-1.115388025400506,-1.9952905811104311,-1.4656736191951034,,3.0282496787893667,0.0516869371701447,3.0799366159595114,4.440892098500626e-16
coupled,48000,23,5,e026480bfdede18b0cad8aa9a8396507da1a7d4e1d8f8b035f580d6cf1dfb08c,2.8037552080828245,0.0190712598783792,-1.7249098569780656,4.504250093709424,0.0999434593310821,1.739538128610134,0.6178578833468253,2.244562894161101,1.740225646202132,0.5201921544356423,2.24383229307165,-1.7249098569780656,-2.247100969251519,-2.254914477535459,,3.984057939273782,0.5201921544356423,4.504250093709424,0.0
coupled,48000,23,6,aa52b477675f028f7f05585d6e76d7c1e052216fc5ff0c12d5b19191dbb9f848,2.8282092103675414,0.0243950026438545,-0.3800755879875508,3.268160342941941,0.0593600771234581,1.0700170856777376,1.0146231684943343,1.1106297750659464,1.0045926070969475,0.2706237364263162,1.9929439994186768,-0.3800755879875508,-2.031632551755704,-1.1042774003588565,,2.9975366065156246,0.2706237364263162,3.2681603429419406,-4.440892098500626e-16
coupled,48000,23,7,0193a206e04983fbfc2b0b7090a2206526ec6d42519b69d1a4291436c936eec5,2.711144174835316,0.0025492076441142,1.113023546508873,1.4961722397388368,0.0680559269489575,-0.3003951556014488,1.8776414939050616,0.0,-0.3148134473776904,0.3381880948755906,1.4727975922409366,1.113023546508873,-1.5091904113546553,0.0,,1.1579841448632462,0.3381880948755906,1.4961722397388368,0.0
coupled,48000,23,8,61d4cf29a73d0fbebcfd1d461184e2ae14c4900d005b36c4d18f6b61215564be,2.693937316271237,0.0307261787826186,-0.4300956559763902,3.032361584923473,0.0742037838073921,1.39219668058898,0.3978955270581901,1.2980414654716887,1.22750351383836,0.1171810228258443,1.687677048259269,-0.4300956559763902,-1.730817467034166,-1.2831124222773007,,2.915180562097629,0.1171810228258443,3.0323615849234735,4.440892098500626e-16
